User,Rating,Title,Helpfulness,Comment,Date
JHanson,5,This little projector is amazing!  After you unlock the full Google experience! Takes 5 minutes.,545,"This little projector is amazing!  With the help of Adam at Anker I had the google app store up and running in 5 minutes.  Now, this thing is a full functioning android projector!  Go to ABOUT in the settings menu and CLICK ON THE ANDROID VERSION 5 TIMES in a row.  A password window comes up, input a password you must obtain from Anker...... then click DONE and OK.  You will be presented with a new download.  Say yes and download it. After it finishes it will reboot.  When it reboots you will have full google apps including the google play store.  To access the play store go to APP MANAGER on the home menu and you will see the play store and all the other google apps.  This addition made the capsule a truly amazing device!  Anker customer support is great.  Adam was very helpful and they answer the phone right away.",25/05/2018
T Wang,5,can sit nicely on most surfaces and also comes with a standard ...,464,"This is a revolutionary product --- a very usable portable projector. It is decently bright; can work for hours on battery; can sit nicely on most surfaces and also comes with a standard tripod screw hole. It comes with Android 7.1, so it works as a portable smart TV on its own. It can also mirror screens of cell phones (I tested both IOS and android) and computers through wifi and bluetooth. Therefore, it has a very convenient and truly wireless setup. There is simply no other non-Anker/Nebula portable projector available today (Jan 2018) in its league.The only projector worthy of comparison is the Nebula Mars. For not too much more money (especially when Mars has a discount), you get 500 ANSI Lumens vs 100, 1280x800 resolution vs 854x480, 19500mAh battery vs 5200mAh, 10W JBL speakers vs 5W unknown speakers. So Mars seems like a better deal. However, I simply cannot get over the portability of Capsule. In my mind, this single factor outweighs all the rest of them. Moreover, Capsule runs Android 7.1 now an...",11/01/2018
Kindle Customer,2,"Great hardware, but software doesn't work.  Do not buy unless you want to project from HDMI source only.",894,"I very rarely write reviews on Amazon, but I feel compelled to write a review for this product because there is relatively little public information online about it.  From an engineering perspective, the device is amazing - it's small and powerful, with good brightness for its size.  And if all you want to do is plug in an HDMI cable and project, you'll be happy.  However, to me, the real promise of this device was that it runs Android and should be able to operate entirely wirelessly via apps or casting, and these functions simply do not work.  Here's the deal:The Nebula Capsule does indeed run Android, but it doesn't have Google Play and most apps that you'd want to use are either not available or do not work.  For example, I was trying to watch the Olympics and the NBC Olympics app wouldn't install because Play Services aren't available.  NBC Sports installs ok but doesn't work because it needs the user to log in via a web browser and the Nebula doesn't have a browser.  The story was pretty much the sam...",03/03/2018
Amb2020,5,Amazing little device,280,"This will save you a lot of research... I'll address some of the ""pitfalls"" that others have mentioned in their initial reviews first and then will tell you how much I like this device.- Limited App store: I found this to be the case at first, but with help from an awesome Nebula representative named Ashley, there's a very simple workaround and YOU CAN DOWNLOAD MOST APPS.  Go to APKpure.com and download the android app installers to a thumb drive. Then plug the thumb drive into the capsule and install the apps.  It's really simple and I wasn't sketched out by the process (I'm pretty hesitant to download things from unknown sources) and it worked like a charm.  I now have Sling TV, HBO Go, Showtime Anytime, and most of the apps I couldn't download from the native store. Took me about 20 minutes to find, download, and install all of the apps I wanted.- Brightness: it's really pretty impressive.  You have to consider that this thing is the size of a soda can... You don't need the room to be super dark to get ...",14/05/2018
Pocky,5,Now I have my own 100 inch screen!,205,"My neighbor got one from indiegogo. Last month I was invited to his wine reception and enjoyed an unforgettable movie night with this projector. I searched it on amazon for a long time, but I can't wait, now I have my own Capsule. Great product with great value!",03/04/2018
Ethi Chaudhary,5,Its perfect! The sound,160,"Its perfect! The sound, picture, connections, everything!- gives a large, crisp, bright image even in semi-darkness,- has EXCELLENT in-built speakers (which can be used as only speakers without the projector too!),- wifi connectivity makes netflix, amazon, youtube etc connections really easy (do note you cannot sign in to your youtube account from it, but you can always use phone mirroring for that)- the phone app can be used as remote for the projector : phone literally becomes a touch pad for the projector control (super handy!!)- connects very easily to phone- charges with a simple regular USB cable (haven't tried connecting my laptop to it so can't comment on that)I looked around A LOT before finalizing this projector and am really happy with the decision.Just in case you are interested, below is a list of pointers I had created for the several projectors I looked at:toumei mini pico c800w- internal 8gb storage- can run for 2 hours without connected charging- good remote- has bluetooth and wifi- can mi...",09/07/2018
Poppy Seaberry,3,"I’m keeping it, but...",159,"The stripped-down version of Android is a real bummer, I must say. Kills the potential of this projector. It’s still better than all the other mini models, but it also costs a lot more, too, so I was hoping for more.The good:* Picture is bright enough in a dim room and great in a dark room. My walls are beige, not white, and it performs fine without a screen. I’m getting a screen soon, so I’ll update when I do. It’s still a mini projector, and portability is going to come with compromise.* I like the form factor. It fits nicely in a case made for the Amazon Tap speaker; it’s shorter than the speaker but about the same width, so I got that case and put in a bit of springy foam as support. There’s room for the power cord, also, though not the remote. (This $7 hack was better than the $40 case made for the Nebula.)* Sound is impressive for a small speaker that’s more than a speaker. It’s as loud as my Anker SoundCore, which is loud enough for my needs. Won’t fill a large room, but is perfectly serviceable for...",26/04/2018
dfa1234,5,"great quality, easy to use & stream from various apps",85,"This projector is awesome! My husband got it for me for Christmas I was nervous because I have a lot of Apple products and I am not used to android but so far it's been super easy to use and compatible with my iphone and airplay and mirroring. I have also hooked my phone up with a hdmi/lightening adapter but don't really notice a difference in quality I think streaming and hardwiring are both great. I set up netflix, youtube, and the dish anywhere app right on the device and stream easily with no issues although I do use the nebula connect app on my phone as a remote for netflix and dish. I think the quality is not much different than my high def 1080p TV. My kids are all obsessed with watching movies on the every wall in our house now , it works well in all of our neutral painted rooms and pretty good on my sons dark blue walls in his room. We also use it in bed on the ceilings. I can't fit a TV anywhere in our kitchen so now i can set it up and project it pretty much anywhere in there. The speakers work ...",02/01/2019
Nathalie Luna D. Adkins,1,Lies,71,"Who reviewed this POS and gave it 5 stars?1. Bluetooth doesn’t stay pair to outside speakers.2. Sound quality without the speaker is crap.3. Remote control works when it feels like it.4. App doesn’t work as expected.5 Does not fully charge, I had to charge the capsule for 12 hours just so it can be 92%.6. Apps keep force closing.7. No option to resize the screen.This machine would have been great if it worked.",06/03/2019
rangeriffic,1,It doesn’t work on most formats.,46,"The projector will play Netflix off it’s native application using your phone as a hotspot.The projector will work with a direct line HDMI to a gaming console or disc player. The end.It implies that it will mirror different devices. That is true: VIA WiFi! It will not mirror via Bluetooth or direct line HDMI. It does not have common video applications like Hulu.Bottom Line:Are you buying it so you can pack your gaming console but not your TV? => BuyAre you buying it so you can watch Netflix (and only Netflix) on a larger screen utilizing your hotspot enabled smartphone? => BuyAre you hoping it will save you from packing a work monitor for you computer through the HDMI port? => Do not buy. It will not, it is not a monitor.Any other reason? => Do not buy; It won’t work.",24/04/2019
